VIN,Plate,Year,Maker,Model,Submodel,CC,Fuel,Transmission,FirstReg,BodyStyle,ListingDate,ListingUrl
,MAC272,2008,Alfa Romeo,159,159,2190cc,Petrol,Manual,Imported,Sedan,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5781384787
,GIULFA,2021,Alfa Romeo,Giulia,Quadrifoglio,2891cc,Petrol,Automatic,NZ New,Sedan,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5761479079
,YG8001,1980,Alfa Romeo,Other,Alfa Sud 1.5ti,1500cc,Petrol,,Imported,Sedan,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5775160573
,MDA683,2019,Alfa Romeo,Giulietta,Veloce,1742cc,Petrol,Manual,NZ New,Hatchback,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5781382677
,RI5578,1992,Alfa Romeo,33,Permanent 4WD,1712cc,Petrol,Manual,NZ New,Hatchback,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5767061733
,RELCAR,1969,Alfa Romeo,Spider,Veloce,1749cc,Petrol,,Imported,Convertible,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5768814503
,NNR190,2019,Alfa Romeo,Giulia,Super,1995cc,Petrol,Automatic,NZ New,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5811889796
,,2019,Alfa Romeo,Stelvio,QUADRIFOGLIO 2.9P,2891cc,Petrol,Automatic,NZ New,RV/SUV,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5658927420
,HKL602,2009,Alfa Romeo,147,is arguably the best version.,2000cc,Petrol,,Imported,Hatchback,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5810407748
,RRB967,2011,Alfa Romeo,Giulietta,1.4L MultiAir Manual,1368cc,Petrol,Manual,NZ New,Hatchback,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5808281870
,,2009,Alfa Romeo,Other,Brera Q4 V6 NZ NEW,3195cc,Petrol,Automatic,NZ New,Coupe,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5675032910
,,2020,Alfa Romeo,Giulia,Quadrafoglio 2.9P 8A 4Dr...,2891cc,Petrol,Automatic,NZ New,Sedan,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5769699592
,,2008,Alfa Romeo,Commodore,Holden Commodore Clubsport R8 Auto,6162cc,Petrol,Automatic,NZ New,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5805452076
,,2016,Alfa Romeo,Commodore,Holden Commodore VF2 SS-V Redline 6.2,6162cc,Petrol,Manual,NZ New,Sedan,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5680521782
,,2017,Alfa Romeo,Captiva,Holden Captiva LS 2.4P/6AT/SW/4DR/7,2384cc,Petrol,Automatic,NZ New,Station Wagon,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5742735806
,,2023,Alfa Romeo,Leaf,Nissan Leaf 60Kwh EV 5Dr Hatch,,Electric,Automatic,NZ New,Hatchback,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5811661528
,,2015,Alfa Romeo,420i,BMW 420i Premium Leather Interior,1997cc,Petrol,Automatic,Imported,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5803910370
,,2017,Alfa Romeo,500,Fiat 500 Lounge 1.4P 5A 3Dr Hatch,1368cc,Petrol,Automatic,NZ New,Hatchback,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5776340055
,,2017,Alfa Romeo,HSV,Holden HSV Clubsport R8 LSA 30TH SA 6.2P 6...,6162cc,Petrol,Automatic,NZ New,Sedan,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5769699602
,,2016,Alfa Romeo,500,Fiat 500 Sport S3 1.4P 6M 3Dr Hatch,1368cc,Petrol,Manual,NZ New,Hatchback,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5776350061
,,2005,Alfa Romeo,Hiace,Toyota Hiace Mobility Wheel Chair,2494cc,Diesel,Automatic,,Van,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5793605740
