VIN,Plate,Year,Maker,Model,Submodel,CC,Fuel,Transmission,FirstReg,BodyStyle,ListingDate,ListingUrl
ZAR16400006170579,,1990,Alfa Romeo,Other,164 12V V6,2959cc,,Automatic,NZ New,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5817541935
ZAR93700005145426,,2004,Alfa Romeo,147,147,1970cc,,Automatic,NZ New,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5814423271
ZAREAEKN8H7549026,,2019,Alfa Romeo,Giulia,Super,1995cc,,Automatic,NZ New,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5811889796
ZAR93600000092258,,2004,Alfa Romeo,166,V6,2959cc,,Automatic,NZ New,Sedan,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5811567048
ZAR94000007308752,,2014,Alfa Romeo,Giulietta,Tct,1368cc,,Automatic,NZ New,Hatchback,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5810612106
ZAR93700003435850,,2009,Alfa Romeo,147,is arguably the best version.,2000cc,,,Imported,Hatchback,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5810407748
ZAR94000007140680,,2012,Alfa Romeo,Giulietta,Giulietta,1740cc,,Manual,Imported,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5809654154
ZAR93900007082558,,2011,Alfa Romeo,Giulietta,1.4L MultiAir Manual,1368cc,,Manual,NZ New,Hatchback,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5808281870
ZARPAHGX6L7C89113,,2020,Alfa Romeo,Stelvio,2.2 TURBO DIESEL 4WD,2142cc,,Automatic,,RV/SUV,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5806954432
ZAR94000007203097,,2014,Alfa Romeo,Giulietta,Progression,1368cc,,Automatic,NZ New,Hatchback,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5804891881
ZARPAHGN1L7C93939,,2021,Alfa Romeo,Stelvio,Veloce Carbon,1995cc,,Automatic,NZ New,RV/SUV,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5801893479
ZAREAENN1H7545542,,2017,Alfa Romeo,Giulia,Veloce,1995cc,,Automatic,NZ New,Other,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5801850270
ZAR16700001035932,,1995,Alfa Romeo,155,Ts 16V,1970cc,,Manual,NZ New,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5799723892
ZAR93200000230006,,2003,Alfa Romeo,156,V6 Gta,3179cc,,Manual,NZ New,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5797258859
ZAR93700005265871,ticket,2008,Alfa Romeo,147,Spider,1960cc,,Manual,Imported,Hatchback,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5796349862
ZAR93900007027076,,2006,Alfa Romeo,159,159,2198cc,,Manual,NZ New,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5793003557
ZARPAHKV2K7C80249,,2020,Alfa Romeo,Stelvio,Quadrifoglio Q4 [NZ NEW],2891cc,,Automatic,NZ New,RV/SUV,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5791819723
SuccessFeeRefunds,,2019,Alfa Romeo,Stelvio,Q4 4WD,2000cc,,Automatic,Imported,RV/SUV,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5786769281
ZAR93700003298609,,2006,Alfa Romeo,147,Gta,3170cc,,,Imported,Hatchback,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5785332075
